expinf,highyield,m2,rgdp,house,10tminust2,unemp,nq100,,expinf,highyield,m2,rgdp,house,10tminust2,unemp,nq100
1.8995,3.6019,13832.675,18145.17886,405.60978,0.5585,4.1,6396.42,,,,,,,,,
2.04381,3.34955,13852.94,18176.75147,407.3539,0.5519,4,6949.99,,,,,,,,,
2.10158,3.542,13888.975,18208.37902,409.10553,0.68368,4.1,6854.42,,,,,,,,,
2.09048,3.63864,13946.775,18240.0616,410.86468,0.56667,4,6581.13,,,,,,,,,
2.12762,3.47333,13987.7,18271.7993,412.6314,0.48476,4,6605.57,,,,,,,,,
2.14182,3.4687,14050.675,18303.59223,414.40571,0.46591,3.8,6967.73,,,,,,,,,
2.11762,3.45182,14113.225,18335.44048,416.18766,0.37905,4,7040.8,,,,,,,,,
2.11429,3.59,14151.36,18367.34415,417.97726,0.28238,3.8,7231.98,,,,,,,,,
2.09913,3.45261,14191.075,18399.30333,419.77457,0.25348,3.8,7654.55,,,,,,,,,
2.12316,3.34143,14224.675,18431.31812,421.5796,0.23632,3.7,7627.65,,,,,,,,,
2.11136,3.51913,14237.88,18463.38861,423.39239,0.29136,3.8,6967.1,,,,,,,,,
2.004,4.01727,14235.8,18495.51491,425.21298,0.258,3.8,6949.01,,,,,,,,,
1.81632,4.7635,14346.04,18527.6971,427.04139,0.15632,3.9,6329.97,,,,,,,,,
1.79381,4.57227,14432.175,18950.347,428.87767,0.17048,4,6906.84,,,,,,,,,
1.87684,4.128,14461.075,18950.347,430.72185,0.17211,3.8,7097.52,,,,,,,,,
1.91286,4.01045,14501.075,18950.347,432.57395,0.16143,3.8,7378.77,,,,,,,,,
1.93667,3.78333,14555.84,19020.599,434.43402,0.18762,3.7,7781.46,,,,,,,,,
1.82636,4.06391,14642.15,19020.599,436.30208,0.18864,3.7,7127.96,,,,,,,,,
1.7,4.21429,14764.075,19020.599,438.17818,0.26,3.6,7671.07,,,,,,,,,
1.75273,3.99739,14853.54,19141.744,440.06235,0.22409,3.6,7848.78,,,,,,,,,
1.58636,4.29391,14925.45,19141.744,441.95462,0.055,3.7,7691,,,,,,,,,
1.587,3.94381,15015.7,19141.744,443.85502,0.0515,3.5,7749.45,,,,,,,,,
1.56091,4.09826,15143.1,19253.959,445.7636,0.15545,3.6,8083.83,,,,,,,,,
1.64053,4.05,15241.65,19253.959,447.68038,0.19947,3.6,8403.68,,,,,,,,,
1.7181,3.7219,15303.72,19253.959,449.60541,0.24952,3.6,8733.07,,,,,,,,,
1.72095,3.60136,15394.45,19010.848,451.53871,0.23857,3.5,8991.51,,,,,,,,,
1.61579,3.9219,15434.425,19010.848,453.48033,0.17316,3.5,8461.83,,,,,,,,,
0.98682,7.85409,15898.06,19010.848,455.43029,0.42182,4.4,7813.5,,,,,,,,,
1.10333,8.1381,16948.1,17302.511,457.38864,0.43286,14.8,9000.51,,,,,,,,,
1.1155,7.28727,17815.4,17302.511,459.35541,0.5035,13.3,9555.53,,,,,,,,,
1.27318,6.06636,18126.72,17302.511,461.33064,0.54364,11.1,10156.85,,,,,,,,,
1.45636,5.69957,18325,18596.521,465.84,0.47545,10.2,10905.88,,,,,,,,,
1.66143,5.12381,18384.62,18596.521,465.84,0.51048,8.4,12110.7,,,,,,,,,
1.65619,5.26,18652.85,18596.521,465.84,0.54476,7.8,11418.06,,,,,,,,,
1.70381,5.05217,18784.975,18616.97717,467.84311,0.63762,6.9,11052.95,,,,,,,,,
1.71211,4.52524,19037.9,18637.45585,469.85484,0.70421,6.7,12268.32,,,,,,,,,
1.91591,4.04455,19198.6,18657.95705,471.87521,0.79773,6.7,12888.28,,,,,,,,,
1.91591,4.04455,19198.6,18678.4808,473.90428,0.79773,6.7,12803.93,,,,,,,,,
