,item_code,title,ori_price,dis_price,discount_percent,provider,num,main_category,sub_category,item_ranking
1724,1545679715,[G7]베트남 G7 커피/Pure Black 200T/블랙 +달고나 20g,29800,14900,50,(주)테라토닉,4683,식품,생수/커피/음료,83
1725,1545680180,[루솔]루솔 프리미엄 이유식 아기밥 골고루 10팩 무료배송,30500,28060,8,루솔,3013,유아동/출산,분유/이유식,13
1726,1545682437,[루솔]루솔 프리미엄 이유식 진밥 골고루 10팩 무료배송,30500,28060,8,루솔,3025,유아동/출산,분유/이유식,25
1727,1545710153,[샤오미]샤오미 미지아 스마트 무드등 2세대,31500,31500,0,SMARTA,7362,가구/침구,홈패션/인테리어소품,62
1728,1545716728,[낫소스포츠]프리미엄 Plus 족구화 STRIKER 블루 화이트 라임,45800,40510,11,올스펙타,7784,스포츠/자동차,구기/라켓,68
1729,1545730130,[뷰오케이]뷰오케이 안경 김서림방지 안경클리너,6000,6000,0,뷰오케이,1686,신발/잡화,잡화/액세서리,86
1730,1545854295,[베네위츠]베네위츠 UHF강의용 교사용 수업용 무선마이크 블랙,79900,79900,0,에스엘컴퍼니,9543,컴퓨터/전자,MP3/스피커,27
1731,1545899722,[아디다스]아디다스/나이키 트레이닝 인기상품 모음전,96000,28900,69,withme,7571,스포츠/자동차,스포츠의류/운동화,55
1732,1545998376,(2+1)아이배냇_꼬마치즈포_30G,4900,4900,0,홈플러스당일배송,3962,유아동/출산,홈플러스 베이비,62
1733,1546243147,[웨이테크]1+1 WP웨이 단백질 헬스보충제 /보충제2통+아미노1통,66900,66900,0,웨이테크,7716,스포츠/자동차,휘트니스/수영,100
1734,1546355469,(예약) 2022수능대비 EBS 수능특강 /수능연계교재 / 특강 라이트 (2021년) 시리즈 중 선택,7470,7470,0,스터디북스,10627,도서/음반,학습/수험,11
1735,1546503966,고급순면 잠옷세트 커플 파자마 신혼부부 여성 남성,27800,26610,4,BRILLER브리이에,854,패션의류,언더웨어,54
1736,1546826220,발이편한 남성 남자 사무실 사무용 슬리퍼 실내화쿠션,12300,11560,6,지프라이스,1358,신발/잡화,남성신발,58
1737,1546925372,14k 골드 귀걸이 롱귀걸이 원터치 데일리 여자 선물,119600,119600,0,체리스쥬얼리,1687,신발/잡화,잡화/액세서리,87
1738,1547006654,착한송이 송향버섯 경북특산물 가정용(알뜰) 1kg,15000,14750,1,착한송향버섯,5234,식품,채소,34
1739,1547193587,수동커팅도구 링커터기 코털제거기 매너면도기 정리기,14300,14020,1,엔엠생활건강,2775,화장품/헤어,제모/데오드란트/슬리밍,75
1740,1547388330,[G클럽]라텍스장갑 200매(100매2case)요리 식품 실험 다목적,27900,26510,4,장갑팩토리,6522,생활/주방/건강,공구설비/자재,22
1741,1547437558,[설화수]설화수 탄력에센셜 3종 기획세트 +쇼핑백 {SH2809},115000,113970,0,1004친구,2074,화장품/헤어,화장품,74
1742,1547492403,[엘라스]엘라스 스칼프 딥클린 샴푸 1100ml,11900,11900,0,스마일배송,2642,화장품/헤어,샴푸/헤어에센스/스타일링,42
1743,1547727456,[키친아트]키친아트 IH 멀티팟 4.3리터 대용량 파스타냄비 국수,32000,31800,0,쪼아맘,5874,생활/주방/건강,주방용품,74
1744,1548083569,[팬콧키즈]22% 중복쿠폰 팬콧키즈 맨투맨/셋업/실내복/레깅스,33800,16900,50,팬콧공식스토어,30,ALL,ALL,30
1745,1548083569,[팬콧키즈]22% 중복쿠폰 팬콧키즈 맨투맨/셋업/실내복/레깅스,33800,16900,50,팬콧공식스토어,2841,유아동/출산,ALL,41
1746,1548083569,[팬콧키즈]22% 중복쿠폰 팬콧키즈 맨투맨/셋업/실내복/레깅스,33800,16900,50,팬콧공식스토어,3309,유아동/출산,유아동의류,9
1747,1548109578,[덴티스테](무불소 안전한 치약/초특가  단독구성)덴티스테 플러스화이트 프리미엄 기능성 치약 11종세트,59900,55800,6,신세계TV쇼핑,6166,생활/주방/건강,위생용품,66
1748,1548275207,[보솜이][보솜이] [+베이비핸드워시300ml]  리얼코튼원더 밴드/팬티기저귀 4팩,36200,33680,6,롯데아이몰,2946,유아동/출산,기저귀,46
1749,1548283658,[메이베나]메이베나 1일 1팩 뽑아쓰는 마스크 팩 수분팩 30매,19800,19800,0,메이베나,2151,화장품/헤어,보습제품,51
1750,1548323082,3M 새니타이저 9270겔 에탄올 70% 500ml 손소독제,8950,8690,2,탑메딕스,5656,생활/주방/건강,손소독제/소독기기,56
1751,1548665536,[파리바게뜨](파리바게뜨) 고구마케이크,25000,25000,0,맛있는 해피콘,11501,e쿠폰/티켓,ALL,83
1752,1548665536,[파리바게뜨](파리바게뜨) 고구마케이크,25000,25000,0,맛있는 해피콘,11554,e쿠폰/티켓,외식,36
1753,1548832020,유아 아동 상하복세트/3종세트/트레이닝복 봄신상,25600,25600,0,비비아동복,3398,유아동/출산,유아동의류,98
1754,1548935113,Longman Academic Reading Series. 4 with Essential Online Resources,19800,19800,0,인터넷교보문고,10561,도서/음반,해외원서,45
1755,1549164529,(행사상품)대천김_김자반_60gx2봉,2990,2860,4,홈플러스당일배송,4429,식품,수산,29
1756,1549164529,(행사상품)대천김_김자반_60gx2봉,2990,2860,4,홈플러스당일배송,5343,식품,홈플러스 식품,43
1757,1549310335,보존료 없는 건자두 2kg 푸룬/건과일,27800,13900,50,파란푸드,4059,식품,ALL,59
1758,1549310335,보존료 없는 건자두 2kg 푸룬/건과일,27800,13900,50,파란푸드,4721,식품,간편조리/간식,21
1759,1549314507,차량용 프리미엄 천연 방향제 18ml 3개 SET (할인),35000,35000,0,아이수피아,8273,스포츠/자동차,자동차용품,57
1760,1549405615,청도 반건시 곶감 선물세트 24입(70g/중과)/금보자기,28900,28760,0,G-효성농산,4170,식품,과일/견과,70
1761,1549407672,청도 반건시곶감 선물세트 20입(100g/특과)/선물용가방,33900,32210,4,G-효성농산,4198,식품,과일/견과,98
1762,1549499985,한아툴스 플래티늄 매직렌치 렌치 만능렌치 9 ~ 52mm c,33000,31390,4,인포벨홈쇼핑,6537,생활/주방/건강,공구설비/자재,37
1763,1549734509,led 센서등 직부등 형광등 위너  십자등 60W_LG칩,19900,10900,45,영라이팅,7370,가구/침구,홈패션/인테리어소품,70
1764,1549933928,[더블에이]더블에이 A4 복사용지  75g 2BOX 4000매/A4용지,42880,38600,9,더블에이정품,6335,생활/주방/건강,문구/사무용품,35
1765,1549981560,[fresco]프레스코 마늘양파 스파게티소스 685g 4개+면300g 2개,24900,14900,40,스마일배송,4812,식품,캔/오일/조미료,12
1766,1551001199,[청호나이스]청호나이스 T-262 냉온 정수기T퍼플 CHP-3840S,45900,45900,0,청호공식렌탈접수처,6829,생활/주방/건강,렌탈 서비스,29
1767,1551037124,[ABKO]N550 초경량 7.1채널 게이밍 헤드셋 ㅡ장패드행사ㅡ,32290,31000,3,스마일배송,8640,컴퓨터/전자,컴퓨터/용품,24
1768,1551220615,[뉴트로지나]뉴트로지나 데일리 바디 워시 950ml 2개,32100,18900,41,스마일배송,1993,화장품/헤어,ALL,93
1769,1551220615,[뉴트로지나]뉴트로지나 데일리 바디 워시 950ml 2개,32100,18900,41,스마일배송,2516,화장품/헤어,바디클렌져/바디로션,16
1770,1551245917,[닌텐도]암즈 ARMS,59500,56590,4,지피클럽,9688,컴퓨터/전자,게임,72
1771,1551259746,[닌텐도]스위치 뉴 슈퍼 마리오브라더스 U 디럭스,59500,56530,4,지피클럽,9630,컴퓨터/전자,게임,14
1772,1551267517,[단독구성] 블랙에디션 디퓨저 500ml X 3개/ 코코도르,28900,27460,4,롯데ON,6252,생활/주방/건강,악기/취미/원예용품,52
1773,1551396936,용선생 세계사 15권 세트,198900,188960,4,신나고북,3747,유아동/출산,장난감/완구,47
