expinf,highyield,m2,rgdp,house,10tminust2,unemp,nq100
0.653205655,-0.017203978,-0.730459433,-0.863994723,-0.973691632,1.587839983,1.349533101,-0.697059288
0.865658095,-0.165492169,-0.720023158,-0.842331585,-1.171008498,1.709059305,1.259248314,-0.67318782
0.877717001,-0.3275948,-0.704015844,-0.820630763,-1.171008498,1.736511616,1.21410592,-0.647441669
1.1522532,-0.265426345,-0.69065369,-0.798892176,-1.171008498,1.638055686,1.21410592,-0.651914075
1.498015378,-0.325900117,-0.673425656,-0.777115763,-1.292400306,1.642074759,1.259248314,-0.627654999
1.004139438,-0.261849454,-0.654024066,-0.755301459,-1.292400306,1.520401303,1.21410592,-0.639409973
0.653205655,-0.038491691,-0.63115762,-0.733449193,-1.292400306,1.495980327,1.259248314,-0.657102066
0.978403967,-0.057747868,-0.578984266,-0.711558909,-1.241857172,1.501293678,1.21410592,-0.643036349
0.459601385,0.482564139,-0.501236746,-0.689630536,-1.241857172,0.906504963,1.21410592,-0.688431271
-0.202682575,0.720451721,-0.490766785,-0.66766401,-1.241857172,0.555914657,1.21410592,-0.726383364
-0.035083385,0.801407537,-0.479754638,-0.645659261,-1.210957439,0.678178485,1.123821133,-0.644053822
0.077662488,0.696458768,-0.466601018,-0.623616223,-1.210957439,0.551589045,1.033536346,-0.668234631
0.071584014,0.665364122,-0.458211574,-0.601534834,-1.210957439,0.507254358,0.988393953,-0.674708438
0.230849814,0.428671152,-0.429283234,-0.579415014,-1.284454661,0.512987781,0.898109166,-0.603850618
0.592371904,0.223451354,-0.415614698,-0.557256717,-1.284454661,0.471548188,0.898109166,-0.546026134
0.818084238,0.125781384,-0.402581385,-0.535059853,-1.284454661,0.628995933,0.852966772,-0.496766308
0.70185795,0.184977199,-0.384002699,-0.512824377,-1.313809407,0.55266761,0.852966772,-0.508539917
0.402542169,0.247479034,-0.373362703,-0.490550199,-1.313809407,0.27704323,0.852966772,-0.582636505
0.34938004,0.406487481,-0.354209749,-0.468237274,-1.313809407,0.063941545,0.852966772,-0.548776664
